# Real monthly US AQI from Open-Meteo Air-Quality archive (no key).
# Mumbai, 2023-01..2026-06. zone = H3 res-7 cell id.
zone,lat,lon,month,aqi
87608b1a0ffffff,18.92138,72.94008,12,159.8
87608b1a0ffffff,18.92138,72.94008,13,154.9
87608b1a0ffffff,18.92138,72.94008,14,128.1
87608b1a0ffffff,18.92138,72.94008,15,111.4
87608b1a0ffffff,18.92138,72.94008,16,82.3
87608b1a0ffffff,18.92138,72.94008,17,66.7
87608b1a0ffffff,18.92138,72.94008,18,72.2
87608b1a0ffffff,18.92138,72.94008,19,66.0
87608b1a0ffffff,18.92138,72.94008,20,64.4
87608b1a0ffffff,18.92138,72.94008,21,133.2
87608b1a0ffffff,18.92138,72.94008,22,178.0
87608b1a0ffffff,18.92138,72.94008,23,158.4
87608b1a0ffffff,18.92138,72.94008,24,167.8
87608b1a0ffffff,18.92138,72.94008,25,148.5
87608b1a0ffffff,18.92138,72.94008,26,134.1
87608b1a0ffffff,18.92138,72.94008,27,98.2
87608b1a0ffffff,18.92138,72.94008,28,81.1
87608b1a0ffffff,18.92138,72.94008,29,70.5
87608b1a0ffffff,18.92138,72.94008,30,65.5
87608b1a0ffffff,18.92138,72.94008,31,65.1
87608b1a0ffffff,18.92138,72.94008,32,67.0
87608b1a0ffffff,18.92138,72.94008,33,118.0
87608b1a0ffffff,18.92138,72.94008,34,156.3
87608b1a0ffffff,18.92138,72.94008,35,157.2
87608b1a0ffffff,18.92138,72.94008,36,155.0
87608b1a0ffffff,18.92138,72.94008,37,160.6
87608b1a0ffffff,18.92138,72.94008,38,121.2
87608b1a0ffffff,18.92138,72.94008,39,94.6
87608b1a0ffffff,18.92138,72.94008,40,71.0
87608b1a0ffffff,18.92138,72.94008,41,62.1
87608b1a2ffffff,18.94299,72.94416,0,171.6
87608b1a2ffffff,18.94299,72.94416,1,188.6
87608b1a2ffffff,18.94299,72.94416,2,155.6
87608b1a2ffffff,18.94299,72.94416,3,121.4
87608b1a2ffffff,18.94299,72.94416,4,72.4
87608b1a2ffffff,18.94299,72.94416,5,65.2
87608b1a2ffffff,18.94299,72.94416,6,69.3
87608b1a2ffffff,18.94299,72.94416,7,64.9
87608b1a2ffffff,18.94299,72.94416,8,69.2
87608b1a2ffffff,18.94299,72.94416,9,160.7
87608b1a2ffffff,18.94299,72.94416,10,168.0
87608b1a2ffffff,18.94299,72.94416,11,163.7
87608b1a2ffffff,18.94299,72.94416,12,159.8
87608b1a2ffffff,18.94299,72.94416,13,154.9
87608b1a2ffffff,18.94299,72.94416,14,128.1
87608b1a2ffffff,18.94299,72.94416,15,111.4
87608b1a2ffffff,18.94299,72.94416,16,82.3
87608b1a2ffffff,18.94299,72.94416,17,66.7
87608b1a2ffffff,18.94299,72.94416,18,72.2
87608b1a2ffffff,18.94299,72.94416,19,66.0
87608b1a2ffffff,18.94299,72.94416,20,64.4
87608b1a2ffffff,18.94299,72.94416,21,133.2
87608b1a2ffffff,18.94299,72.94416,22,178.0
87608b1a2ffffff,18.94299,72.94416,23,158.4
87608b1a2ffffff,18.94299,72.94416,24,167.8
87608b1a2ffffff,18.94299,72.94416,25,148.5
87608b1a2ffffff,18.94299,72.94416,26,134.1
87608b1a2ffffff,18.94299,72.94416,27,98.2
87608b1a2ffffff,18.94299,72.94416,28,81.1
