# Real monthly US AQI from Open-Meteo Air-Quality archive (no key).
# Bengaluru, 2023-01..2026-06. zone = H3 res-7 cell id.
zone,lat,lon,month,aqi
8760145aaffffff,12.96386,77.48911,14,85.6
8760145aaffffff,12.96386,77.48911,15,77.3
8760145aaffffff,12.96386,77.48911,16,83.2
8760145aaffffff,12.96386,77.48911,17,42.1
8760145aaffffff,12.96386,77.48911,18,27.8
8760145aaffffff,12.96386,77.48911,19,49.0
8760145aaffffff,12.96386,77.48911,20,43.2
8760145aaffffff,12.96386,77.48911,21,82.8
8760145aaffffff,12.96386,77.48911,22,86.4
8760145aaffffff,12.96386,77.48911,23,82.4
8760145aaffffff,12.96386,77.48911,24,99.2
8760145aaffffff,12.96386,77.48911,25,92.2
8760145aaffffff,12.96386,77.48911,26,91.4
8760145aaffffff,12.96386,77.48911,27,109.2
8760145aaffffff,12.96386,77.48911,28,75.0
8760145aaffffff,12.96386,77.48911,29,43.1
8760145aaffffff,12.96386,77.48911,30,30.9
8760145aaffffff,12.96386,77.48911,31,45.3
8760145aaffffff,12.96386,77.48911,32,49.0
8760145aaffffff,12.96386,77.48911,33,63.4
8760145aaffffff,12.96386,77.48911,34,91.0
8760145aaffffff,12.96386,77.48911,35,102.1
8760145aaffffff,12.96386,77.48911,36,100.9
8760145aaffffff,12.96386,77.48911,37,93.5
8760145aaffffff,12.96386,77.48911,38,106.7
8760145aaffffff,12.96386,77.48911,39,99.6
8760145aaffffff,12.96386,77.48911,40,80.2
8760145aaffffff,12.96386,77.48911,41,49.9
8760145acffffff,12.92643,77.50112,0,90.6
8760145acffffff,12.92643,77.50112,1,90.4
8760145acffffff,12.92643,77.50112,2,94.2
8760145acffffff,12.92643,77.50112,3,91.9
8760145acffffff,12.92643,77.50112,4,89.6
8760145acffffff,12.92643,77.50112,5,58.1
8760145acffffff,12.92643,77.50112,6,30.1
8760145acffffff,12.92643,77.50112,7,53.5
8760145acffffff,12.92643,77.50112,8,42.1
8760145acffffff,12.92643,77.50112,9,91.5
8760145acffffff,12.92643,77.50112,10,66.3
8760145acffffff,12.92643,77.50112,11,74.0
8760145acffffff,12.92643,77.50112,12,85.6
8760145acffffff,12.92643,77.50112,13,78.5
8760145acffffff,12.92643,77.50112,14,85.6
8760145acffffff,12.92643,77.50112,15,77.3
8760145acffffff,12.92643,77.50112,16,83.2
8760145acffffff,12.92643,77.50112,17,42.1
8760145acffffff,12.92643,77.50112,18,27.8
8760145acffffff,12.92643,77.50112,19,49.0
8760145acffffff,12.92643,77.50112,20,43.2
8760145acffffff,12.92643,77.50112,21,82.8
8760145acffffff,12.92643,77.50112,22,86.4
8760145acffffff,12.92643,77.50112,23,82.4
8760145acffffff,12.92643,77.50112,24,99.2
8760145acffffff,12.92643,77.50112,25,92.2
8760145acffffff,12.92643,77.50112,26,91.4
8760145acffffff,12.92643,77.50112,27,109.2
8760145acffffff,12.92643,77.50112,28,75.0
8760145acffffff,12.92643,77.50112,29,43.1
8760145acffffff,12.92643,77.50112,30,30.9
8760145acffffff,12.92643,77.50112,31,45.3
8760145acffffff,12.92643,77.50112,32,49.0
8760145acffffff,12.92643,77.50112,33,63.4
8760145acffffff,12.92643,77.50112,34,91.0
8760145acffffff,12.92643,77.50112,35,102.1
8760145acffffff,12.92643,77.50112,36,100.9
8760145acffffff,12.92643,77.50112,37,93.5
8760145acffffff,12.92643,77.50112,38,106.7
8760145acffffff,12.92643,77.50112,39,99.6
8760145acffffff,12.92643,77.50112,40,80.2
8760145acffffff,12.92643,77.50112,41,49.9
8760145aeffffff,12.94885,77.50570,0,90.6
8760145aeffffff,12.94885,77.50570,1,90.4
8760145aeffffff,12.94885,77.50570,2,94.2
8760145aeffffff,12.94885,77.50570,3,91.9
8760145aeffffff,12.94885,77.50570,4,89.6
8760145aeffffff,12.94885,77.50570,5,58.1
8760145aeffffff,12.94885,77.50570,6,30.1
8760145aeffffff,12.94885,77.50570,7,53.5
8760145aeffffff,12.94885,77.50570,8,42.1
8760145aeffffff,12.94885,77.50570,9,91.5
8760145aeffffff,12.94885,77.50570,10,66.3
8760145aeffffff,12.94885,77.50570,11,74.0
8760145aeffffff,12.94885,77.50570,12,85.6
8760145aeffffff,12.94885,77.50570,13,78.5
8760145aeffffff,12.94885,77.50570,14,85.6
8760145aeffffff,12.94885,77.50570,15,77.3
8760145aeffffff,12.94885,77.50570,16,83.2
8760145aeffffff,12.94885,77.50570,17,42.1
8760145aeffffff,12.94885,77.50570,18,27.8
8760145aeffffff,12.94885,77.50570,19,49.0
8760145aeffffff,12.94885,77.50570,20,43.2
8760145aeffffff,12.94885,77.50570,21,82.8
8760145aeffffff,12.94885,77.50570,22,86.4
8760145aeffffff,12.94885,77.50570,23,82.4
8760145aeffffff,12.94885,77.50570,24,99.2
8760145aeffffff,12.94885,77.50570,25,92.2
8760145aeffffff,12.94885,77.50570,26,91.4
8760145aeffffff,12.94885,77.50570,27,109.2
8760145aeffffff,12.94885,77.50570,28,75.0
8760145aeffffff,12.94885,77.50570,29,43.1
8760145aeffffff,12.94885,77.50570,30,30.9
8760145aeffffff,12.94885,77.50570,31,45.3
8760145aeffffff,12.94885,77.50570,32,49.0
8760145aeffffff,12.94885,77.50570,33,63.4
8760145aeffffff,12.94885,77.50570,34,91.0
8760145aeffffff,12.94885,77.50570,35,102.1
8760145aeffffff,12.94885,77.50570,36,100.9
8760145aeffffff,12.94885,77.50570,37,93.5
8760145aeffffff,12.94885,77.50570,38,106.7
8760145aeffffff,12.94885,77.50570,39,99.6
8760145aeffffff,12.94885,77.50570,40,80.2
8760145aeffffff,12.94885,77.50570,41,49.9
8760145b0ffffff,12.99352,77.57380,0,90.6
8760145b0ffffff,12.99352,77.57380,1,90.4
8760145b0ffffff,12.99352,77.57380,2,94.2
8760145b0ffffff,12.99352,77.57380,3,91.9
8760145b0ffffff,12.99352,77.57380,4,89.6
8760145b0ffffff,12.99352,77.57380,5,58.1
8760145b0ffffff,12.99352,77.57380,6,30.1
8760145b0ffffff,12.99352,77.57380,7,53.5
8760145b0ffffff,12.99352,77.57380,8,42.1
8760145b0ffffff,12.99352,77.57380,9,91.5
8760145b0ffffff,12.99352,77.57380,10,66.3
8760145b0ffffff,12.99352,77.57380,11,74.0
8760145b0ffffff,12.99352,77.57380,12,85.6
8760145b0ffffff,12.99352,77.57380,13,78.5
8760145b0ffffff,12.99352,77.57380,14,85.6
8760145b0ffffff,12.99352,77.57380,15,77.3
8760145b0ffffff,12.99352,77.57380,16,83.2
8760145b0ffffff,12.99352,77.57380,17,42.1
8760145b0ffffff,12.99352,77.57380,18,27.8
8760145b0ffffff,12.99352,77.57380,19,49.0
8760145b0ffffff,12.99352,77.57380,20,43.2
8760145b0ffffff,12.99352,77.57380,21,82.8
8760145b0ffffff,12.99352,77.57380,22,86.4
8760145b0ffffff,12.99352,77.57380,23,82.4
8760145b0ffffff,12.99352,77.57380,24,99.2
8760145b0ffffff,12.99352,77.57380,25,92.2
8760145b0ffffff,12.99352,77.57380,26,91.4
8760145b0ffffff,12.99352,77.57380,27,109.2
8760145b0ffffff,12.99352,77.57380,28,75.0
8760145b0ffffff,12.99352,77.57380,29,43.1
8760145b0ffffff,12.99352,77.57380,30,30.9
8760145b0ffffff,12.99352,77.57380,31,45.3
8760145b0ffffff,12.99352,77.57380,32,49.0
8760145b0ffffff,12.99352,77.57380,33,63.4
8760145b0ffffff,12.99352,77.57380,34,91.0
8760145b0ffffff,12.99352,77.57380,35,102.1
8760145b0ffffff,12.99352,77.57380,36,100.9
8760145b0ffffff,12.99352,77.57380,37,93.5
8760145b0ffffff,12.99352,77.57380,38,106.7
8760145b0ffffff,12.99352,77.57380,39,99.6
8760145b0ffffff,12.99352,77.57380,40,80.2
8760145b0ffffff,12.99352,77.57380,41,49.9
8760145b1ffffff,12.98610,77.55262,0,90.6
8760145b1ffffff,12.98610,77.55262,1,90.4
8760145b1ffffff,12.98610,77.55262,2,94.2
8760145b1ffffff,12.98610,77.55262,3,91.9
8760145b1ffffff,12.98610,77.55262,4,89.6
8760145b1ffffff,12.98610,77.55262,5,58.1
8760145b1ffffff,12.98610,77.55262,6,30.1
8760145b1ffffff,12.98610,77.55262,7,53.5
8760145b1ffffff,12.98610,77.55262,8,42.1
8760145b1ffffff,12.98610,77.55262,9,91.5
8760145b1ffffff,12.98610,77.55262,10,66.3
8760145b1ffffff,12.98610,77.55262,11,74.0
8760145b1ffffff,12.98610,77.55262,12,85.6
8760145b1ffffff,12.98610,77.55262,13,78.5
8760145b1ffffff,12.98610,77.55262,14,85.6
8760145b1ffffff,12.98610,77.55262,15,77.3
8760145b1ffffff,12.98610,77.55262,16,83.2
8760145b1ffffff,12.98610,77.55262,17,42.1
8760145b1ffffff,12.98610,77.55262,18,27.8
8760145b1ffffff,12.98610,77.55262,19,49.0
8760145b1ffffff,12.98610,77.55262,20,43.2
8760145b1ffffff,12.98610,77.55262,21,82.8
8760145b1ffffff,12.98610,77.55262,22,86.4
8760145b1ffffff,12.98610,77.55262,23,82.4
8760145b1ffffff,12.98610,77.55262,24,99.2
8760145b1ffffff,12.98610,77.55262,25,92.2
8760145b1ffffff,12.98610,77.55262,26,91.4
8760145b1ffffff,12.98610,77.55262,27,109.2
8760145b1ffffff,12.98610,77.55262,28,75.0
8760145b1ffffff,12.98610,77.55262,29,43.1
8760145b1ffffff,12.98610,77.55262,30,30.9
8760145b1ffffff,12.98610,77.55262,31,45.3
8760145b1ffffff,12.98610,77.55262,32,49.0
8760145b1ffffff,12.98610,77.55262,33,63.4
8760145b1ffffff,12.98610,77.55262,34,91.0
8760145b1ffffff,12.98610,77.55262,35,102.1
8760145b1ffffff,12.98610,77.55262,36,100.9
8760145b1ffffff,12.98610,77.55262,37,93.5
8760145b1ffffff,12.98610,77.55262,38,106.7
8760145b1ffffff,12.98610,77.55262,39,99.6
8760145b1ffffff,12.98610,77.55262,40,80.2
8760145b1ffffff,12.98610,77.55262,41,49.9
8760145b2ffffff,13.01594,77.57839,0,88.9
8760145b2ffffff,13.01594,77.57839,1,88.5
8760145b2ffffff,13.01594,77.57839,2,90.2
8760145b2ffffff,13.01594,77.57839,3,88.2
8760145b2ffffff,13.01594,77.57839,4,83.1
8760145b2ffffff,13.01594,77.57839,5,55.8
8760145b2ffffff,13.01594,77.57839,6,29.0
8760145b2ffffff,13.01594,77.57839,7,51.7
8760145b2ffffff,13.01594,77.57839,8,43.2
8760145b2ffffff,13.01594,77.57839,9,91.1
8760145b2ffffff,13.01594,77.57839,10,66.9
8760145b2ffffff,13.01594,77.57839,11,74.4
8760145b2ffffff,13.01594,77.57839,12,86.7
8760145b2ffffff,13.01594,77.57839,13,77.7
8760145b2ffffff,13.01594,77.57839,14,86.6
8760145b2ffffff,13.01594,77.57839,15,77.3
8760145b2ffffff,13.01594,77.57839,16,82.9
8760145b2ffffff,13.01594,77.57839,17,42.1
8760145b2ffffff,13.01594,77.57839,18,27.2
8760145b2ffffff,13.01594,77.57839,19,47.6
8760145b2ffffff,13.01594,77.57839,20,43.1
8760145b2ffffff,13.01594,77.57839,21,80.5
8760145b2ffffff,13.01594,77.57839,22,86.3
8760145b2ffffff,13.01594,77.57839,23,79.6
8760145b2ffffff,13.01594,77.57839,24,99.5
8760145b2ffffff,13.01594,77.57839,25,90.7
8760145b2ffffff,13.01594,77.57839,26,89.5
8760145b2ffffff,13.01594,77.57839,27,106.2
8760145b2ffffff,13.01594,77.57839,28,72.4
8760145b2ffffff,13.01594,77.57839,29,43.6
8760145b2ffffff,13.01594,77.57839,30,31.0
8760145b2ffffff,13.01594,77.57839,31,43.5
8760145b2ffffff,13.01594,77.57839,32,47.5
8760145b2ffffff,13.01594,77.57839,33,58.1
8760145b2ffffff,13.01594,77.57839,34,88.8
8760145b2ffffff,13.01594,77.57839,35,104.6
8760145b2ffffff,13.01594,77.57839,36,100.5
8760145b2ffffff,13.01594,77.57839,37,89.8
8760145b2ffffff,13.01594,77.57839,38,104.7
8760145b2ffffff,13.01594,77.57839,39,98.4
8760145b2ffffff,13.01594,77.57839,40,76.0
8760145b2ffffff,13.01594,77.57839,41,48.8
8760145b3ffffff,13.00853,77.55720,0,88.9
8760145b3ffffff,13.00853,77.55720,1,88.5
8760145b3ffffff,13.00853,77.55720,2,90.2
8760145b3ffffff,13.00853,77.55720,3,88.2
8760145b3ffffff,13.00853,77.55720,4,83.1
8760145b3ffffff,13.00853,77.55720,5,55.8
8760145b3ffffff,13.00853,77.55720,6,29.0
8760145b3ffffff,13.00853,77.55720,7,51.7
8760145b3ffffff,13.00853,77.55720,8,43.2
8760145b3ffffff,13.00853,77.55720,9,91.1
8760145b3ffffff,13.00853,77.55720,10,66.9
8760145b3ffffff,13.00853,77.55720,11,74.4
8760145b3ffffff,13.00853,77.55720,12,86.7
8760145b3ffffff,13.00853,77.55720,13,77.7
8760145b3ffffff,13.00853,77.55720,14,86.6
8760145b3ffffff,13.00853,77.55720,15,77.3
8760145b3ffffff,13.00853,77.55720,16,82.9
8760145b3ffffff,13.00853,77.55720,17,42.1
8760145b3ffffff,13.00853,77.55720,18,27.2
8760145b3ffffff,13.00853,77.55720,19,47.6
8760145b3ffffff,13.00853,77.55720,20,43.1
8760145b3ffffff,13.00853,77.55720,21,80.5
8760145b3ffffff,13.00853,77.55720,22,86.3
8760145b3ffffff,13.00853,77.55720,23,79.6
8760145b3ffffff,13.00853,77.55720,24,99.5
8760145b3ffffff,13.00853,77.55720,25,90.7
8760145b3ffffff,13.00853,77.55720,26,89.5
8760145b3ffffff,13.00853,77.55720,27,106.2
8760145b3ffffff,13.00853,77.55720,28,72.4
8760145b3ffffff,13.00853,77.55720,29,43.6
8760145b3ffffff,13.00853,77.55720,30,31.0
8760145b3ffffff,13.00853,77.55720,31,43.5
8760145b3ffffff,13.00853,77.55720,32,47.5
