# Real monthly US AQI from Open-Meteo Air-Quality archive (no key).
# Chennai, 2023-01..2026-06. zone = H3 res-7 cell id.
zone,lat,lon,month,aqi
87618c4acffffff,13.00832,80.31397,3,73.8
87618c4acffffff,13.00832,80.31397,4,100.6
87618c4acffffff,13.00832,80.31397,5,98.7
87618c4acffffff,13.00832,80.31397,6,60.2
87618c4acffffff,13.00832,80.31397,7,78.1
87618c4acffffff,13.00832,80.31397,8,71.2
87618c4acffffff,13.00832,80.31397,9,92.3
87618c4acffffff,13.00832,80.31397,10,63.5
87618c4acffffff,13.00832,80.31397,11,82.4
87618c4acffffff,13.00832,80.31397,12,91.1
87618c4acffffff,13.00832,80.31397,13,74.8
87618c4acffffff,13.00832,80.31397,14,75.9
87618c4acffffff,13.00832,80.31397,15,63.2
87618c4acffffff,13.00832,80.31397,16,62.0
87618c4acffffff,13.00832,80.31397,17,74.5
87618c4acffffff,13.00832,80.31397,18,60.0
87618c4acffffff,13.00832,80.31397,19,66.9
87618c4acffffff,13.00832,80.31397,20,68.9
87618c4acffffff,13.00832,80.31397,21,74.2
87618c4acffffff,13.00832,80.31397,22,77.3
87618c4acffffff,13.00832,80.31397,23,70.3
87618c4acffffff,13.00832,80.31397,24,96.3
87618c4acffffff,13.00832,80.31397,25,84.7
87618c4acffffff,13.00832,80.31397,26,69.9
87618c4acffffff,13.00832,80.31397,27,69.6
87618c4acffffff,13.00832,80.31397,28,81.9
87618c4acffffff,13.00832,80.31397,29,70.8
87618c4acffffff,13.00832,80.31397,30,58.8
87618c4acffffff,13.00832,80.31397,31,71.0
87618c4acffffff,13.00832,80.31397,32,71.4
87618c4acffffff,13.00832,80.31397,33,60.8
87618c4acffffff,13.00832,80.31397,34,88.8
87618c4acffffff,13.00832,80.31397,35,105.5
87618c4acffffff,13.00832,80.31397,36,105.8
87618c4acffffff,13.00832,80.31397,37,91.6
87618c4acffffff,13.00832,80.31397,38,72.0
87618c4acffffff,13.00832,80.31397,39,56.2
87618c4acffffff,13.00832,80.31397,40,71.3
